,Equal Weights,Risk Parity,Markowitz,CAPM
698,0.008999221233991108,6.565567254518972e-13,0.0007985816333691822,0.011493981990175551
699,0.03422213188985957,2.624246196988935e-12,0.034742397478869036,0.04536190215233189
700,-0.028067672719620178,-2.1025333186046683e-12,-0.01512162938284514,-0.04354557007084667
701,0.030305724754803913,2.4336329842737582e-12,0.033812539893230686,0.03588321524111224
702,0.012011794974698627,1.0006858236758505e-12,0.005878483509886595,0.017462264190672667
703,-0.046052051575143096,-3.4528823114919155e-12,-0.03269400685143149,-0.06403604407173531
704,0.029707821652411356,2.1862828328860724e-12,0.02421912112275077,0.039942134955707795
705,-0.010032995547901304,-7.5559549203435e-13,-0.009576988326257451,-0.010494606353997684
706,-0.00012085432601843121,9.549560978751547e-14,0.011852002773430077,-0.0026004316443270846
707,-0.04130108581936466,-2.9009018385130306e-12,-0.0170208237390406,-0.05782998870816456
708,0.022669845250538993,1.932239566973017e-12,0.02817187566061521,0.022046556431876106
709,-0.012325125284405217,-3.6409897066418645e-13,0.049583340950268666,-0.019633058890385673
710,-0.020939966054328372,-1.7478789779642949e-12,-0.023127558341145507,-0.02300788593931864
711,0.02333459389890799,1.954283039389058e-12,0.03595337434606233,0.03193109203819132
712,0.022656114446696678,1.8012012526657716e-12,0.02443856528933341,0.028949021735271124
713,0.007809467753244642,8.01633818571732e-13,0.023834128589778757,0.004750531258274121
714,0.006601498735855362,9.729838432903826e-13,0.03937240356292841,0.00411036879862318
715,0.03271093724340941,2.664853827554669e-12,0.047939626646537156,0.05060781134471044
716,-0.0042473271325314905,-8.539230009534314e-13,-0.03421725247034418,0.0031234840182270793
717,0.015046687338987837,1.3816411528532313e-12,0.0292858726028974,0.017098490264860523
718,0.002867452202492797,2.0113266636442075e-13,-0.0024220354637657067,0.005652406806284836
719,-0.011659750618050364,-7.98687694353851e-13,0.000680473831913015,-0.01376683912645739
720,-0.02537132499043965,-1.410701367850286e-12,0.008187383309027109,-0.04428597065835625
721,0.00806020606506177,6.8866350903894e-13,0.017666473449530987,0.011381689415448617
722,-0.0917458143303643,-6.551821350142892e-12,-0.024850296638326063,-0.126666551145363
723,0.051186343149188816,3.740628852703912e-12,0.018475030919712192,0.07284478659147575
724,0.007089406682940783,2.3488582351394876e-13,-0.009831989838511492,0.012302239524444761
725,-0.002946629144661362,-2.389214084324446e-13,0.003506445770294057,-0.0010520267623637088
726,0.004167802150304338,5.871145505879567e-13,0.013772135060248557,0.005053457433848963
727,0.030732843202122304,2.0860677123906568e-12,0.011159447022880147,0.045267406999337054
728,-0.0026626175107757055,-1.9163348051487337e-13,0.0010107569386464343,-0.009044811184306362
729,0.01605534221726656,1.1575901892241455e-12,0.04175099964313025,0.0027357330317963925
730,0.014030525166874629,1.2208242993835367e-12,0.025720871709061,0.012420555533937908
731,0.008451748529645647,6.663798986239782e-13,-0.005422913156824909,0.014999216974182016
732,0.013001554245113043,1.075743533486491e-12,0.02595649542126214,0.019641664215020803
733,0.04298226811201959,3.015334519680043e-12,-0.0004174558281052083,0.06032539238378045
734,0.016748447650995688,9.898273478527505e-13,0.009610687524029986,0.01995687638138044
735,0.03591138409394691,3.187549415175888e-12,0.08086861563173804,0.045544953033854654
736,0.05381384942339857,-0.00014774776713880422,0.01758702341258861,0.08657638287110289
737,-0.004122984717200885,-0.010719382652814446,-0.02078897616812219,-0.001257718103870258
738,0.011721398165578266,0.002882429710357628,0.03853885113681789,0.010592555948718368
739,0.042844049498509396,-0.028742436101116212,0.03435150778459987,0.07296049630391896
740,-0.011223130543497321,0.008142146983567253,-0.01689877698614308,-0.017328650494352484
741,-0.0802398844679361,-0.006575145064866755,-0.029555596664372182,-0.11068278144817921
742,-0.0009855680955092633,-0.0028442877444002025,0.017544445948429715,-0.00356749780471729
743,0.06202017082793135,0.011405966617088809,0.041585286790328885,0.08307199389528425
